hour_of_year,pm2.5_2022,pm2.5_2023,pm2.5_2024
7569,,2.0,
7570,3.0,,
7571,7.0,4.0,
7572,5.0,4.0,
7573,13.0,6.0,
7574,9.0,3.0,
7575,12.0,,
7576,7.0,5.0,
7577,6.0,,
7578,2.0,,
7579,4.0,5.0,
7580,5.0,4.0,
7581,4.0,4.0,
7582,10.0,5.0,
7583,14.0,18.0,
7584,8.0,18.0,
7585,6.0,13.0,
7586,4.0,2.0,
7587,7.0,,
7588,8.0,,
7589,15.0,,
7590,15.0,2.0,
7591,6.0,,
7592,14.0,2.0,
7593,16.0,7.0,
7594,22.0,,
7595,13.0,2.0,
7596,14.0,,
7597,25.0,,
7598,20.0,,
7599,23.0,,
7600,26.0,8.0,
7601,23.0,,
7602,16.0,6.0,
7603,5.0,8.0,
7604,3.0,14.0,
7605,7.0,23.0,
7606,8.0,12.0,
7607,5.0,9.0,
7608,,8.0,
7609,11.0,6.0,
7610,15.0,6.0,
7611,11.0,,
7612,3.0,5.0,
7613,6.0,,
7614,13.0,,
7615,10.0,3.0,
7616,16.0,8.0,
7617,27.0,,
7618,32.0,4.0,
7619,41.0,6.0,
7620,40.0,,
7621,27.0,,
7622,23.0,,
7623,21.0,5.0,
7624,29.0,,
7625,28.0,,
7626,23.0,7.0,
7627,13.0,17.0,
7628,8.0,28.0,
7629,6.0,51.0,
7630,8.0,52.0,
7631,4.0,43.0,
7632,7.0,34.0,
7633,6.0,14.0,
7634,2.0,4.0,
7635,7.0,5.0,
7636,11.0,9.0,
7637,7.0,15.0,
7638,4.0,9.0,
7639,,9.0,
7640,5.0,14.0,
7641,5.0,16.0,
7642,14.0,15.0,
7643,16.0,,
7644,23.0,7.0,
7645,29.0,11.0,
7646,23.0,17.0,
7647,21.0,22.0,
7648,26.0,22.0,
7649,22.0,16.0,
7650,12.0,21.0,
7651,7.0,24.0,
7652,12.0,39.0,
7653,11.0,52.0,
7654,10.0,49.0,
7655,11.0,33.0,
7656,10.0,22.0,
7657,7.0,30.0,
7658,,26.0,
7659,7.0,21.0,
7660,5.0,14.0,
7661,5.0,12.0,
7662,9.0,20.0,
7663,5.0,19.0,
7664,5.0,27.0,
7665,5.0,36.0,
7666,6.0,35.0,
7667,11.0,24.0,
7668,12.0,31.0,
7669,9.0,38.0,
7670,11.0,46.0,
7671,13.0,37.0,
7672,13.0,16.0,
7673,10.0,28.0,
7674,7.0,44.0,
7675,13.0,39.0,
7676,8.0,24.0,
7677,9.0,24.0,
7678,18.0,37.0,
7679,17.0,32.0,
7680,6.0,31.0,
7681,11.0,46.0,
7682,19.0,39.0,
7683,17.0,36.0,
7684,7.0,29.0,
7685,6.0,31.0,
7686,6.0,32.0,
7687,9.0,40.0,
7688,9.0,43.0,
7689,7.0,47.0,
7690,14.0,51.0,
7691,10.0,32.0,
7692,12.0,27.0,
7693,11.0,26.0,
7694,15.0,33.0,
7695,9.0,23.0,
7696,10.0,24.0,
7697,20.0,28.0,
7698,18.0,21.0,
7699,26.0,13.0,
